WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,Acetate Flow,Final TP influent,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Sludge added per day,Total air,dailychemconsumptionEffluent,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL2,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,VSS Effluent,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,Effluent Flow ANA Reactor,Effluent Flow 1st ANX Reactor,MLSS 1st ANX Reactor,MLVSS 1st ANX Reactor,Soluble BOD 1st ANX Reactor Effluent,Total BOD 1st ANX Reactor Effluent,MLSS 1st AER Reactor,MLVSS 1st AER Reactor,Soluble BOD 1st AER Reactor Effluent,Total BOD 1st AER Reactor Effluent,Effluent Flow 2nd ANX Reactor,MLSS 2nd ANX Reactor,MLVSS 2nd ANX Reactor,Soluble BOD 2nd ANX Reactor,Total BOD 2nd ANX Reactor,MLSS 2nd AER Reactor,MLVSS 2nd AER Reactor,Soluble BOD 2nd AER Reactor,Total BOD 2nd AER Reactor
113562.354,11127.27773,124689.6317,1.31E+01,4.23E+01,6.34E+02,0.00E+00,11.93,,0.812809,0.0781332,0.402776,38.6249,4.07132,28965.9,17860.6,804498.5998,653.581,18750.3,979.283,2.95185,1.10252,1411.37,12654.8,40000,124676,0.0266009,0.036252,92059.3,2433.86,102824,1.90E-05,181437,581437,3078.03,1089.14,2.67865,581.924,3134.14,1073.56,3.52767,564.732,181437,3127.26,1066.59,1.22535,555.388,3125.33,1064.04,2.16488,553.593
113562.354,22863.17607,136425.5301,3.60E+01,2.80E+01,5.32E+02,5.93E+01,29.97,,1.00E-06,0.137365,4.16152,37.8559,3.45715,45172,45075.9,1604778.243,715.369,36844.5,2511.2,3.08995,581.074,2263.46,19914.6,40000,136462,0.0557611,3.79574,91168.2,2281.72,156733,1.00E-06,193223,593223,5308.8,2295.32,1.40517,1485.19,5506.51,2246.3,3.61385,1429.81,193223,5464.36,2241.05,0.326732,1421.95,5494.61,2230.45,2.20484,1411.66
113562.354,16345.22966,129907.5837,1.14E+01,2.84E+01,7.50E+02,0.00E+00,9.97,,0.202439,0.0806933,0.456576,45.558,3.71759,30355.8,19382.4,816416.5626,680.931,18879.5,1142.36,2.90989,242.309,1471.25,13174.1,40000,129893,0.0328648,0.0256973,89710.4,1843.19,85270.3,3.93E-06,186654,586654,3169.93,1344.06,2.42891,730.69,3236.6,1323.88,3.84948,708.056,186654,3229.36,1318.93,0.665159,699.928,3227.73,1314.59,2.3578,696.793
113562.354,90319.6082,203881.9622,1.20E+01,3.29E+01,4.69E+02,0.00E+00,6.68,,0.188315,0.0517974,0.507147,50.2883,4.90093,29099.5,16550.6,562939.9559,1068.73,12885.3,920.281,3.01836,988.329,1357.81,12189.2,40000,203868,0.0143163,0.0372097,67502.5,2389.18,99615.8,4.82E-06,260629,660629,2034.91,585.903,3.62309,335.362,2074.72,576.944,4.26249,325.333,260629,2072.62,573.897,2.40998,320.119,2071.9,572.652,2.85325,319.154
113562.354,28845.47678,142407.8308,3.34E+01,2.25E+01,5.64E+02,4.74E+01,26.63,,1.00E-06,0.114579,8.16009,40.6971,3.57559,39600.7,35522.3,1423951.026,746.681,32679.5,2241.58,3.00197,140.171,2003.58,17729.4,40000,142435,0.0490681,7.76875,93815,2235.96,132574,1.00E-06,199196,599196,4428.63,2018.35,1.64884,1289.54,4594.16,1976.36,3.68234,1242.09,199196,4558.11,1971.72,0.385287,1234.63,4583.14,1962.72,2.11895,1226.08
113562.354,33120.22052,146682.5745,2.59E+01,4.06E+01,6.93E+02,9.09E+00,20.05,,0.289059,0.122357,0.499793,46.9675,4.0934,43890.1,40683.5,1033999.908,768.882,23961.7,1396.19,3.04369,1903.57,2147.61,18943.6,40000,146670,0.0345964,0.0409418,77335.7,3631.11,134961,6.59E-06,203431,603431,4786.07,1419.51,2.34919,808.418,4904.23,1394.22,3.737,780.54,203431,4894.82,1388.44,0.715745,771.83,4894.27,1383.86,2.2627,768.262
113562.354,90737.2543,204299.6083,1.31E+01,2.21E+01,5.22E+02,0.00E+00,7.28,,0.0739025,0.0579403,0.517108,51.6046,4.58683,31273.2,19312.9,593999.029,1070.91,13599.3,967.976,3.00451,1293.39,1468.57,13150.8,40000,204285,0.0167734,0.0311453,66475.9,2426.64,100347,1.78E-06,261046,661046,2273.68,686.276,3.45662,395.463,2320.83,675.456,4.38768,383.426,261046,2318.56,672.683,1.95538,377.889,2317.61,670.935,2.69598,376.657
113562.354,90740.64253,204302.9965,1.69E+01,2.53E+01,5.95E+02,0.00E+00,9.39,,0.00934547,0.0721343,0.545113,53.3599,4.50466,36570.7,26507.1,670017.9653,1070.92,15362.8,1068.77,3.02755,1706.8,1725.43,15362.6,40000,204286,0.0204431,0.03622,66858.7,2788.18,110352,1.00E-06,261047,661047,2826.39,836.38,3.29034,480.444,2888.92,822.768,4.40649,465.272,261047,2886.13,820.036,1.51781,459.348,2885.37,817.723,2.49546,457.71
113562.354,5131.102681,118693.4567,1.57E+01,2.91E+01,4.79E+02,0.00E+00,15.02,,0.706599,0.070299,0.425141,28.8473,3.38166,23700.7,14895.4,582144.514,622.154,13559.6,716.955,2.71439,2864.03,1287.1,11572.8,40000,118681,0.0174588,0.149997,61157.8,3388.29,135049,2.31E-05,175442,575442,2759.98,715.145,2.82356,389.97,2814.68,704.521,3.47791,378.234,175442,2812.29,699.884,1.42874,371.385,2811.96,698.351,1.90956,370.225
105641.4209,0,105641.4209,2.88E+01,2.69E+01,5.39E+02,3.27E+01,28.8,,0.00512785,0.136195,0.419402,30.0687,2.94237,36654.5,33883.3,1167668.972,553.868,26947.1,1688.9,2.89489,2412.34,1955.78,17324.7,40000,105655,0.0420239,0.124631,74762.4,3751.98,153305,1.00E-06,162416,562416,5301.31,1730.52,1.48372,1058.21,5467.71,1694.17,3.72302,1018.31,162416,5430.39,1689.16,0.340711,1010.48,5447.82,1680.96,2.19609,1003.09
113562.354,86552.00465,200114.3587,3.81E+01,3.53E+01,4.53E+02,7.47E+01,21.62,,1.00E-06,0.132439,0.655786,48.6845,4.43008,57825.3,67870.6,1754153.1,1049.3,40267.7,2751.28,3.20335,453.773,2793.57,24295.3,40000,200161,0.0519108,0.184952,89877,2436.82,153552,1.00E-06,256922,656922,5096.26,2137.37,1.67855,1470.94,5311.75,2088.66,4.0402,1416.16,256922,5281.42,2085.19,0.503079,1409.58,5297.55,2076.43,2.38816,1401.34
113562.354,51052.49101,164614.845,3.79E+01,3.28E+01,5.35E+02,6.52E+01,26.15,,1.00E-06,0.140231,1.88303,44.901,3.93203,52859.4,58233.2,1691661.443,863.159,38784,2702.43,3.16468,612.251,2581.67,22556.4,40000,164654,0.0554586,1.44693,90152.8,2334.25,156715,1.00E-06,221415,621415,5411.35,2282.42,1.54759,1512.06,5618.04,2232.84,3.76721,1455.96,221415,5580.46,2228.37,0.381522,1448.65,5609.22,2218.34,2.23668,1438.98
113562.354,89457.85739,203020.2114,3.40E+01,3.33E+01,4.90E+02,5.74E+01,19.02,,1.00E-06,0.108005,4.42928,49.9108,4.43107,48539.2,49245.2,1486963.396,1064.46,33989.6,2476.8,3.10741,166.744,2368.56,20791.2,40000,203054,0.0441143,3.94804,91128.7,2410.43,129097,1.00E-06,259815,659815,4152.02,1815.13,1.97489,1229.37,4322.77,1775.13,4.09144,1184.34,259815,4296.74,1772.16,0.605312,1178.12,4320.19,1764.57,2.22622,1171.03
94756.27863,0,94756.27863,3.46E+01,3.12E+01,5.79E+02,4.15E+01,34.6,,1.00E-06,0.106139,13.2852,31.9717,3.08468,28700.1,21248.7,1239517.15,496.873,28544.1,1853.91,2.83972,2.9036,1541.67,13782.9,40000,94782.4,0.047046,12.9819,93792.5,2141.51,131362,1.00E-06,151543,551543,4113.42,1937.46,1.32141,1204.81,4264.95,1897.34,3.45214,1160.09,151543,4221.73,1891.61,0.297798,1151.98,4245.56,1881.84,2.12437,1142.71
98533.5776,0,98533.5776,1.70E+01,2.38E+01,6.03E+02,0.00E+00,17,,0.565277,0.0400835,11.7685,32.597,3.32214,15713.8,7035.8,547032.403,516.492,12718.7,696.763,2.44719,0.101478,880.541,7990.29,40000,98524.8,0.0197155,11.4637,79405.8,1031.96,58542,1.27E-05,155286,555286,1578.2,806.573,2.62117,441.38,1607.96,795.673,3.41012,429.271,155286,1602,790.665,1.10697,421.867,1603.34,788.62,1.73255,420.307
113562.354,3746.233964,117308.588,3.86E+01,2.33E+01,4.76E+02,7.38E+01,37.37,,1.00E-06,0.165076,0.562163,28.9205,3.07099,47975.2,51312.3,1818596.308,615.221,41873,2726.39,3.13494,1004.16,2419.1,21211.3,40000,117358,0.0652343,0.284048,90070.1,2306.6,178551,1.00E-06,174119,574119,6388.88,2687.88,1.07461,1747.29,6627.85,2629.08,3.5394,1680.99,174119,6574.96,2622.38,0.259851,1672.07,6603.03,2609.37,2.43977,1659.26
113562.354,74790.16722,188352.5212,1.72E+01,3.99E+01,5.89E+02,0.00E+00,10.37,,0.388865,0.075568,0.522272,51.0368,4.82471,36510.5,25911.5,745516.8411,987.302,17192.2,1090.91,3.08218,949.653,1705.56,15192.4,40000,188335,0.0208438,0.0355233,76893.4,2899.01,113855,9.65E-06,245096,645096,2965.94,853.735,3.29527,478.696,3027.45,840.294,3.98414,463.705,245096,3023.95,835.771,1.7215,456.675,3022.72,833.751,2.48619,455.199
113562.354,73424.08858,186986.4426,2.52E+01,4.62E+01,5.33E+02,2.41E+01,15.3,,0.263568,0.104037,0.490719,49.7223,4.69862,45542.8,41858.6,1132315.547,980.242,26217.9,1551.09,3.13042,889.931,2179.17,19208.5,40000,186989,0.0308617,0.0172032,84980.5,3465.6,130548,4.74E-06,243750,643750,4046.76,1270.07,2.47423,793.064,4170.62,1243.99,4.10715,764.84,243750,4164.59,1238.84,1.03345,756.639,4161.48,1234.47,2.90043,753.659
113562.354,53487.5329,167049.8869,1.90E+01,2.41E+01,5.89E+02,0.00E+00,12.92,,0.205104,0.0824231,0.50029,47.1364,4.01288,34441,25777.7,690622.2093,875.629,15936.3,1000.57,2.94328,2386.1,1701.06,15153.9,40000,167033,0.0219223,0.0461625,64446,3255.2,125445,5.47E-06,223794,623794,3229.86,897.553,2.94888,503.139,3300.88,883.071,3.95509,487.01,223794,3297.56,879.375,1.23261,480.355,3296.92,876.891,2.19946,478.548
113562.354,31000.60264,144562.9566,1.45E+01,4.78E+01,5.56E+02,0.00E+00,11.39,,1.50781,0.0724995,0.488972,40.7791,5.38367,30083.3,18560.4,798800.4029,757.76,18578,1011.84,3.02398,0.448959,1439.2,12896.3,40000,144549,0.0209928,0.0985903,89077.6,2763.94,111769,3.89E-05,201310,601310,2857.21,859.725,3.20267,458.755,2906.73,847.552,3.39385,445.079,201310,2901.08,841.104,1.75418,436.892,2899.98,839.711,2.02528,435.671
113562.354,84759.92749,198322.2815,2.50E+01,3.53E+01,6.72E+02,8.44E+00,14.32,,0.000562994,0.102269,0.574677,54.6295,4.52412,46749.1,43776.8,925798.4715,1039.58,21303.5,1400.85,3.07872,1977.88,2229.78,19632.8,40000,198308,0.029098,0.0453734,71330.8,3360.89,126177,1.00E-06,255069,655069,3991.25,1192.74,2.84225,707.968,4097.02,1170.87,4.31014,683.647,255069,4090.16,1167.71,0.949001,676.996,4090.77,1163.92,2.36103,674.106
105173.3086,0,105173.3086,2.19E+01,1.87E+01,5.62E+02,9.52E+00,21.9,,0.273362,0.102972,0.352052,31.0313,2.97654,29338.1,22339.7,780019.5101,551.312,18138.3,990.956,2.79066,2901.33,1581.46,14126,40000,105167,0.0276833,0.0511736,66146.3,3725.46,143235,6.93E-06,161928,561928,4026.31,1136.96,2.0257,648.178,4127.03,1116.43,3.61322,626.04,161928,4118.87,1111.45,0.607217,618.155,4118.86,1107.33,2.0729,615.096
113562.354,37865.31901,151427.673,1.98E+01,3.87E+01,5.14E+02,8.66E+00,14.85,,0.465724,0.087188,0.427388,41.3556,4.03061,33832.6,25189.2,819100.0483,793.779,19034.6,1053.07,2.98716,1430.15,1681.16,14983.2,40000,151420,0.0236102,0.0317366,77613.7,3446.68,132318,1.09E-05,208181,608181,3409.68,969.682,2.61844,564.526,3494.16,952.436,3.78811,545.826,208181,3489.38,947.142,1.24428,537.845,3487.52,944.409,2.36146,535.977
82583.64927,0,82583.64927,3.12E+01,2.74E+01,4.71E+02,3.66E+01,31.2,,0.000218752,0.0746914,15.0555,26.5701,2.82772,19719.3,12116.8,985281.6558,433.056,22743.1,1420.02,2.59863,0.312284,1159.19,10452.8,40000,82608.7,0.0347739,14.8099,91393.4,2224.21,114946,1.00E-06,139370,539370,2882.52,1435.89,1.35783,927.071,3004.72,1403.78,3.46097,891.853,139370,2970.08,1398.96,0.37275,884.536,2987.66,1390.96,2.13526,877.271
113562.354,50596.63014,164158.9841,2.83E+01,2.38E+01,7.42E+02,1.16E+01,19.58,,2.97E-05,0.127016,0.609181,51.7617,4.07977,48356.8,49291.9,1053604.725,860.5,24247.1,1591.58,3.03416,2451.66,2369.71,20800.8,40000,164147,0.0373025,0.0999823,71477.1,3595.97,133610,1.00E-06,220908,620908,4958.42,1529.36,2.34214,895.39,5091.14,1501.16,4.01062,863.78,220908,5072.49,1497.51,0.563107,856.74,5080.62,1492.1,2.09793,852.123
86915.34187,0,86915.34187,2.58E+01,4.36E+01,7.22E+02,4.31E+00,25.8,,0.501739,0.115145,0.457543,38.7997,3.6015,30668.1,22110,763784.0346,455.572,17797.9,933.196,2.91551,1726.95,1573.16,14054.5,40000,86903.9,0.0290674,0.074406,78336.1,3686.46,139994,1.55E-05,143665,543665,4520.53,1192.63,1.96985,637.087,4614.41,1173.1,3.41369,616.453,143665,4605.6,1166.6,0.611187,607.433,4605.82,1162.7,1.90456,604.53
103537.3176,0,103537.3176,3.21E+01,4.91E+01,7.27E+02,2.33E+01,32.1,,0.450154,0.1626,0.489094,39.421,3.85161,44860.7,43820,1313974.6,542.774,30475.2,1748.81,3.06463,1503.75,2230.91,19642.2,40000,103538,0.0472898,0.0958408,85725.7,3839.43,146711,9.61E-06,160299,560299,6364.39,1944.59,1.64974,1109.59,6525.82,1907.79,3.48018,1069.48,160299,6495.52,1899.15,0.41627,1058.47,6504,1891.59,2.15556,1051.8
113562.354,1224.592684,114786.9467,3.18E+01,3.67E+01,6.56E+02,3.23E+01,31.46,,0.157091,0.105682,15.0515,36.1236,3.40082,32457.6,25178.6,1320802.992,601.823,30449.4,1942.07,2.86896,0.260673,1680.8,14980.1,40000,114802,0.048533,14.7069,96248.9,1979.85,112110,2.03E-06,171563,571563,4110.51,1994.53,1.69012,1192.95,4243.9,1956.6,3.42519,1150.24,171563,4207.72,1949.75,0.387092,1140.91,4227.29,1941.32,2.01362,1132.99
113562.354,6929.767406,120492.1214,1.54E+01,3.22E+01,6.56E+02,0.00E+00,14.51,,0.31685,0.0872901,0.400319,38.2522,3.38919,29496.4,20114.1,747135.414,631.572,17336.4,986.404,2.84905,1631.12,1499.24,13416.2,40000,120477,0.0283465,0.0346279,76810.6,2804.81,114041,7.72E-06,177238,577238,3427.59,1160.19,2.41567,627.122,3499.46,1142.58,3.67155,607.652,177238,3493.11,1137.42,0.774456,599.552,3491.6,1133.86,2.13735,597.01
113562.354,25312.00266,138874.3567,1.76E+01,1.52E+01,5.11E+02,1.84E+00,14.39,,0.413691,0.0775464,0.415951,37.5018,3.58137,28417,19563.9,646587.3964,727.947,15010.4,846.557,2.82658,2693.49,1478.24,13234.6,40000,138861,0.0198828,0.0561275,62576.8,3411.71,133130,1.18E-05,195622,595622,3039.19,814.897,2.75719,456.53,3105.86,801.768,3.71588,442.126,195622,3102.75,797.427,1.2754,435.141,3101.86,795.313,2.08529,433.639
113562.354,82182.52743,195744.8814,2.36E+01,3.51E+01,5.63E+02,1.57E+01,13.69,,0.00561759,0.0950634,0.52212,51.4024,4.41129,43049.5,38370.7,931171.967,1026.12,21459.3,1376.83,3.0548,1781.27,2084.22,18410.1,40000,195740,0.0275336,0.0284825,72846,3370.5,127689,1.00E-06,252501,652501,3699.79,1130.5,2.67512,696.414,3808.84,1108.27,4.35627,672.071,252501,3803.61,1105.19,0.984314,665.513,3802.53,1101.34,2.54108,662.733
113562.354,13728.92262,127291.2766,3.31E+01,2.01E+01,5.46E+02,4.84E+01,29.53,,1.97E-06,0.118331,8.53631,35.4821,3.29039,37656,33073.9,1435128.615,667.446,32977.3,2217.9,2.98182,188.733,1931.76,17121.1,40000,127320,0.0507015,8.19644,93943.8,2224.86,139322,1.00E-06,184081,584081,4576.86,2086.41,1.50733,1323.11,4746.76,2042.91,3.58906,1274.07,184081,4707.09,2037.69,0.344847,1266.2,4733.22,2028.06,2.13136,1256.99
113562.354,85447.79515,199010.1492,3.75E+01,3.95E+01,6.49E+02,5.15E+01,21.4,,1.00E-06,0.119151,5.89556,53.8465,4.65055,53274.6,56420.2,1589120.159,1043.4,36351.6,2620.1,3.14858,51.8804,2540.01,22212.6,40000,199036,0.049123,5.37408,93659,2242.19,124956,1.00E-06,255797,655797,4601,2018.99,2.1177,1319.89,4771.19,1976.84,4.01596,1272.12,255797,4741.94,1972.95,0.552687,1265.09,4766.04,1964.92,2.1978,1257.54
113562.354,2606.143474,116168.4975,3.59E+01,2.22E+01,6.67E+02,4.44E+01,35.09,,1.38E-05,0.135068,10.3655,37.3119,3.35301,40603,36853.6,1501082.991,609.11,34499,2313.67,3.02336,313.092,2041.64,18051,40000,116192,0.0578924,10.0056,94698.8,2073.12,140868,1.00E-06,172953,572953,5245.17,2379.44,1.42909,1456.83,5420.41,2332.66,3.50356,1403.9,172953,5373.95,2326.44,0.287286,1395.24,5402.71,2315.7,2.11674,1384.8
113562.354,64275.10137,177837.4554,2.97E+01,2.48E+01,5.98E+02,3.17E+01,18.97,,1.00E-06,0.124038,0.573112,49.4021,4.09699,49257,52297.1,1226255.894,932.307,28188.7,1884.09,3.04658,2166.19,2442.84,21408.3,40000,177845,0.0392067,0.0905321,75304.1,3549.4,136610,1.00E-06,234606,634606,4815.68,1611.37,2.12502,1020.97,4975.09,1577.68,4.18126,983.44,234606,4951.49,1574.58,0.559322,976.872,4961.53,1568.27,2.25854,971.353
113562.354,17600.66111,131163.0151,1.79E+01,4.38E+01,5.99E+02,0.00E+00,15.5,,0.902357,0.0894979,0.44204,38.8294,4.27263,32591,22593,805203.3359,687.506,18765.5,981.366,3.00878,764.518,1590.56,14204.4,40000,131147,0.0246512,0.066826,85793.4,3228.52,125411,2.48E-05,187908,587908,3519.25,1010,2.78008,539.313,3587.02,994.964,3.43307,522.769,187908,3581.28,988.19,1.34436,513.839,3579.91,986.049,2.00451,512.204
113562.354,77516.88251,191079.2365,2.01E+01,1.52E+01,6.98E+02,0.00E+00,11.95,,0.00812422,0.0893578,0.573487,54.3835,4.36731,41233.7,33864.4,781382.0081,1001.58,17956.9,1205.77,3.03979,1851.69,1955.22,17320,40000,191060,0.0262524,0.048569,70266.1,2972.92,115380,1.00E-06,247821,647821,3499.08,1073.98,3.02646,610.681,3579.32,1056.3,4.25784,590.763,247821,3573.97,1053.27,1.05064,584.3,3574.31,1050.1,2.27638,581.93
113562.354,76521.80997,190084.164,1.74E+01,3.29E+01,6.42E+02,0.00E+00,10.4,,0.0745051,0.078682,0.540061,52.7396,4.38215,37313.9,27781.7,727583.4421,996.377,16727.8,1115.51,3.02575,1540.78,1767.25,15720.3,40000,190066,0.0233258,0.035055,71298.5,2785.92,110480,1.72E-06,246827,646827,3083.51,954.411,3.11812,542.478,3151.95,938.971,4.22593,525.167,246827,3148.17,935.754,1.25886,518.729,3147.28,933.031,2.38981,516.794
113562.354,25469.28162,139031.6356,2.22E+01,3.29E+01,7.16E+02,0.00E+00,18.13,,0.185858,0.109579,0.514889,45.8273,3.75324,38385.5,32306,836348.8139,728.739,19335.8,1174.88,2.95121,2428.77,1908.72,16925.5,40000,139013,0.0310965,0.0665076,70080.1,3415.48,129480,4.79E-06,195774,595774,4295.46,1273.05,2.46841,694.983,4390.62,1252.52,3.71956,672.059,195774,4381.48,1247.83,0.708556,664.338,4383.16,1243.86,2.00594,661.192
92370.55237,0,92370.55237,1.86E+01,3.59E+01,5.53E+02,4.40E-01,18.6,,0.686698,0.0764062,0.511407,30.1349,3.31347,22799.3,13507.4,545275.2317,484.168,12725.2,647.17,2.76125,2038.77,1224.81,11028.2,40000,92358.7,0.0180244,0.219674,70411.9,3409.91,136454,2.54E-05,149120,549120,3002.69,738.829,2.471,396.458,3059.1,727.707,3.3753,384.709,149120,3056.17,722.789,1.13876,377.555,3056.25,720.977,1.76164,376.291
113562.354,44943.82566,158506.1797,3.36E+01,4.86E+01,5.36E+02,5.11E+01,24.07,,0.26229,0.111744,7.67456,43.5382,4.25687,41851,38548.4,1596886.406,831.088,36791.2,2370.96,3.0286,0.280376,2089.15,18451.7,40000,158536,0.0471112,7.25598,93718.5,2257.28,126771,3.10E-06,215297,615297,4321.08,1940.53,1.84167,1247.29,4477.67,1899.47,3.6097,1201.49,215297,4450.21,1892.28,0.594474,1191.7,4469.77,1884.45,2.16007,1184.42
