WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,MgCl2 Flow,NaOH Flow,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Struvite Pellet Collection,Sludge added per day,Total air flow,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL2,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,VSS Effluent,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,Effluent Flow ANA Reactor,Effluent Flow 1st ANX Reactor,MLSS 1st ANX Reactor,MLVSS 1st ANX Reactor,Soluble BOD 1st ANX Reactor Effluent,Total BOD 1st ANX Reactor Effluent,MLSS 1st AER Reactor,MLVSS 1st AER Reactor,Soluble BOD 1st AER Reactor Effluent,Total BOD 1st AER Reactor Effluent,Effluent Flow 2nd ANX Reactor,MLSS 2nd ANX Reactor,MLVSS 2nd ANX Reactor,Soluble BOD 2nd ANX Reactor,Total BOD 2nd ANX Reactor,MLSS 2nd AER Reactor,MLVSS 2nd AER Reactor,Soluble BOD 2nd AER Reactor,Total BOD 2nd AER Reactor,Pellet Collection Flow,Struvite Biosolids
113562.35,28845.48,142407.83,33.4,22.5,564,7.92,3.96,,0.254915,0.0771236,0.55818,25.452,2.99637,26648.3,16058.5,64036.32,623540.7,586072,37468.7,2.65669,3485.71,1490.52,13340.9,40000,142305,0.0178118,0.317333,56126.6,4024.16,143057,7.62E-06,199066,599066,3009.36,731.087,3.6236,408.309,3080.64,718.514,4.03455,393.868,199066,3079.84,714.721,1.50392,387.329,3084.94,712.472,2.10651,385.426,100,242538
113562.35,33120.22,146682.57,25.9,40.6,693,6.14,3.07,,0.299191,0.0761894,0.312931,30.2647,3.46342,29519.8,39826.9,64428.96,781916.5,736596,45320.5,2.85437,707.476,1499.99,13422.7,40000,146577,0.024338,0.0324855,86306.8,2988.37,113652,6.45E-06,203338,603338,2983.95,998.202,3.58034,551.035,3054.49,981.603,4.05043,531.967,203338,3049.02,976.637,1.30453,524.135,3047.58,973.521,2.43927,521.784,100,588847
113562.35,90737.25,204299.61,13.1,22.1,522,3.11,1.55,,5.18E-06,0.0343705,0.171761,20.4324,3.21756,17384.9,39364,39750.432,549081.7,509484,39597.7,2.60837,0.380222,913.293,8281.34,40000,204195,0.0143229,0.0230975,78100.1,1766.96,70272.4,1.00E-06,260956,660956,1344.79,587.111,5.48932,340.691,1378.32,577.025,5.98325,328.726,260956,1375.87,574.843,3.38485,323.592,1374.82,572.917,4.23192,322.22,100,405603
113562.35,90740.64,204303,16.9,25.3,595,4.01,2,,3.97E-06,0.0400491,0.196334,21.9047,3.27973,20868.3,36308.5,47907.84,579222.7,538186,41036.7,2.62151,331.013,1105.51,9980.8,40000,204198,0.0157142,0.026098,77871.4,2037.67,78820.8,1.00E-06,260959,660959,1563.72,643.975,5.34327,379.31,1605.45,632.773,5.78666,365.983,260959,1602.92,630.693,2.91674,360.702,1601.96,628.567,3.83162,359.17,100,399589
113562.35,5131.1,118693.46,15.7,29.1,479,3.72,1.86,,0.892644,0.0377374,0.344946,26.3259,3.74799,14440.4,15160.5,39100.416,496503.8,469897,26606.8,2.25802,1456.19,898.048,8145.92,40000,118589,0.0117277,0.109129,62581.8,2491.31,85884.6,2.45E-05,175350,575350,1483.08,480.889,4.20197,276.149,1513.5,473.793,4.02583,267.432,175350,1510.16,470.03,2.28139,261.698,1509.5,469.107,2.43354,260.828,100,225121
105641.42,0,105641.42,28.8,26.9,539,6.35,3.18,,0.575326,0.0625773,0.487961,29.7887,3.32269,18680.1,15035,49424.64,527586,500625,26961,2.39109,2975.27,1141.44,10296.8,40000,105540,0.0143971,0.205199,54654.3,3662.78,122294,1.92E-05,162301,562301,2450.21,591.336,3.54777,331.18,2504.28,581.617,3.76187,320.01,162301,2502.77,577.399,1.5927,313.468,2503.09,575.882,2.02086,312.255,100,189868
113562.35,86552,200114.36,38.1,35.3,453,9.03,4.52,,0.00509686,0.0512414,4.47034,17.4395,3.47118,23063,29516.9,54233.76,527357.1,488006,39351.1,2.71761,2281.37,1255.73,11298.7,40000,200015,0.0116701,4.33144,65053.8,4050.33,138857,1.00E-06,256776,656776,1994.14,479.262,4.74869,273.602,2041.55,470.859,4.96687,263.917,256776,2044.17,468.056,3.13203,259.03,2049.66,466.802,3.27558,257.738,100,474171
113562.35,51052.49,164614.85,37.9,32.8,535,8.99,4.49,,0.181863,0.0696071,3.05474,21.7688,3.03662,26870.8,19345.4,63966.72,598920.7,559351,39569.7,2.69036,3297.74,1488.85,13326.4,40000,164513,0.0156349,2.85566,57795.1,4107.87,145745,5.34E-06,221274,621274,2710.78,641.912,3.98519,363.412,2775.26,630.699,4.30726,350.486,221274,2776.31,627.36,1.92345,344.517,2784.28,625.397,2.36025,342.764,100,306673
113562.35,89457.86,203020.21,34,33.3,490,8.06,4.03,,1.00E-05,0.0550889,1.68661,18.1031,3.29318,25185.7,23714.6,59116.32,538647.9,498104,40543.9,2.70964,2790.5,1372.38,12315.9,40000,202919,0.0125586,1.53845,59635.5,3978.48,138734,1.00E-06,259680,659680,2141.99,515.583,4.68115,298.221,2194.94,506.391,5.00474,287.621,259680,2197.08,503.838,2.8742,282.659,2203.55,502.345,3.14031,281.22,100,363381
94756.28,0,94756.28,34.6,31.2,579,6.85,3.42,,0.486945,0.0672889,1.59887,31.5561,3.23603,18496.7,13208.1,49530.24,492038.9,466432,25606.9,2.37775,3285.91,1143.94,10318.8,40000,94655.1,0.014253,1.29454,51707.9,3859.94,127733,1.83E-05,151416,551416,2632.35,585.643,3.25459,327.822,2688.65,575.835,3.67445,316.89,151416,2688.37,571.85,1.3498,310.489,2691.56,570.121,1.85473,309.156,100,168420
98533.58,0,98533.58,17,23.8,603,3.5,1.75,,0.451158,0.0447775,0.348804,33.2341,3.30018,15473.4,17576.9,40392.912,505310.3,479086,26224.3,2.33341,1103.72,928.372,8415.19,40000,98429.5,0.0155124,0.0401739,69026.1,2223.75,81190.3,1.15E-05,155191,555191,1758.73,636.646,3.36177,362.548,1796.54,626.531,3.91012,351.139,155191,1792.4,622.448,1.40075,344.401,1791.1,620.497,2.19502,343.095,100,255659
113562.35,3746.23,117308.59,38.6,23.3,476,9.15,4.58,,0.748873,0.0596711,9.13123,26.0153,3.47141,18566.6,13379.5,49976.16,530117,502234,27883,2.38389,3415.72,1154.51,10411.7,40000,117211,0.0129501,8.88766,52388.8,3995.98,134231,2.59E-05,173972,573972,2334.2,531.696,3.8719,296.624,2384.65,523.209,3.80706,286.558,173972,2385.66,519.135,1.92776,280.415,2386.85,518.005,2.12061,279.372,100,191432
113562.35,74790.17,188352.52,17.2,39.9,589,4.08,2.04,,0.0721915,0.041104,0.205005,22.7454,3.59187,21346,61240.5,48810.72,624320.7,582766,41554.7,2.64425,0.105405,1126.89,10168.9,40000,188247,0.0157792,0.0222921,81899.7,1993.47,80191.3,1.27E-06,245008,645008,1609.34,647.359,4.96497,375.822,1648.69,636.446,5.18441,363.004,245008,1645.44,633.121,2.76212,356.998,1644.16,631.168,3.56002,355.595,100,481946
113562.35,73424.09,186986.44,25.2,46.2,533,5.98,2.99,,0.347194,0.0522901,0.222978,20.5766,4.08645,25698.2,69247.9,56364.48,647572.8,606071,41501.8,2.86292,0.503836,1306.56,11742.6,40000,186882,0.0144494,0.0520071,88354.5,3138.95,116097,8.01E-06,243643,643643,2046.54,593.325,4.71008,335.256,2094.54,583.361,4.62433,323.693,243643,2092.25,579.254,2.83121,317.605,2091.61,577.974,3.13286,316.462,100,774783
113562.35,53487.53,167049.89,19,24.1,589,4.51,2.25,,0.0455692,0.0449326,0.23367,24.323,3.07164,20320.9,28745.5,48778.08,576414.7,539096,37318.7,2.53527,961.332,1126.12,10162.1,40000,166945,0.0160926,0.0269395,72788.6,2366.84,87768.9,1.00E-06,223706,623706,1755.85,659.875,4.56537,383.658,1801.38,648.633,4.93005,370.375,223706,1798.44,645.866,2.17348,364.563,1797.3,643.704,3.0675,363.002,100,336469
113562.35,31000.6,144562.96,14.5,47.8,556,3.44,1.72,,1.33972,0.0383378,0.274325,26.1712,4.95893,17350,58775.5,42276.912,704737.2,664987,39750.2,2.45111,0.0252256,972.647,8807.69,40000,144458,0.0150336,0.0512356,77954,1736.3,68531.1,2.52E-05,201219,601219,1513.44,616.937,5.41249,335.956,1539.74,607.993,4.74116,324.716,201219,1534.47,602.465,2.97248,317.196,1533.51,601.343,3.09018,316.055,100,394744
113562.35,84759.93,198322.28,25,35.3,672,5.93,2.96,,4.14E-06,0.0607063,0.240291,23.3738,3.29496,29198.8,32468.2,64116,685192.3,639340,45852.3,2.8121,1104.69,1492.45,13357.5,40000,198216,0.0199915,0.0386656,78603.4,2843.01,108618,1.00E-06,254977,654977,2369.5,819.164,4.42369,473.989,2432.29,804.874,4.9803,457.331,254977,2428.64,802.262,1.92475,451.406,2428.25,799.662,2.94221,449.449,100,466957
105173.31,0,105173.31,21.9,18.7,562,4.81,2.4,,0.532452,0.0504046,0.353159,31.1734,3.34247,16401,17466,43789.104,525070.3,498119,26951.3,2.31205,1815.73,1008.25,9122.73,40000,105070,0.0147166,0.0628568,62158.4,2858.19,95701.9,1.47E-05,161831,561831,1976.98,604.327,3.60671,343.588,2021,594.522,3.89526,332.279,161831,2017.16,590.323,1.61251,325.618,2016.18,588.663,2.18849,324.393,100,223471
113562.35,37865.32,151427.67,19.8,38.7,514,4.7,2.35,,0.526814,0.0426163,0.252149,23.3759,3.66814,18988.1,65029,45400.56,568850.8,535117,33733.8,2.58627,0.288913,1046.25,9458.45,40000,151325,0.0133192,0.0523357,82800.9,2635.75,94127.1,1.21E-05,208086,608086,1671.09,546.676,4.66571,310.738,1708.73,537.926,4.52145,300.221,208086,1705.43,533.968,2.63272,294.123,1704.65,532.766,2.92703,293.067,100,599178
82583.65,0,82583.65,31.2,27.4,471,5.38,2.69,,1.08027,0.0386412,7.23275,26.5292,3.73885,10463.5,8602.55,31710.816,349920.6,331473,18447.6,2.07689,2513.23,725.476,6606.42,40000,82484.5,0.00803732,6.98854,49426.3,3496.49,104663,4.62E-05,139245,539245,1520.97,329.528,3.7776,187.262,1548.42,324.863,3.58989,181.637,139245,1546.4,322.127,2.06508,177.308,1545.65,321.493,2.12857,176.699,100,159088
113562.35,50596.63,164158.98,28.3,23.8,742,6.71,3.36,,2.36E-05,0.0805167,0.333563,28.9331,3.09983,32058.1,22985.4,70861.44,764674.5,716268,48406.5,2.80848,1964.54,1655.48,14762.8,40000,164052,0.0257863,0.0639859,73673,3117.25,118237,1.00E-06,220813,620813,3145.11,1056.35,3.60286,594.883,3226.37,1038.19,4.35664,573.756,220813,3218.67,1035.02,1.11261,567.176,3220.67,1031.45,2.31527,564.297,100,354603
86915.34,0,86915.34,25.8,43.6,722,4.68,2.34,,0.506447,0.0623251,0.415292,38.9533,3.68173,19181.9,64687,46049.04,578288.6,548680,29608.6,2.58565,0.275339,1061.56,9593.55,40000,86811.7,0.0197666,0.0439409,85900.1,2614.42,95359.9,1.39E-05,143573,543573,2450.56,811.289,2.95803,440.33,2500.06,798.488,3.66756,426.295,143573,2494.5,793.275,1.03766,418.496,2493,790.662,2.02559,416.685,100,603713
103537.32,0,103537.32,32.1,49.1,727,6.94,3.47,,0.717329,0.099324,0.438668,39.1516,4.05838,30225.8,46802.7,65659.2,822430.2,781147,41283.2,2.91468,623.912,1529.64,13679,40000,103432,0.0272006,0.0570798,89823.6,3479.78,127971,1.99E-05,160193,560193,3901.9,1116.32,2.90457,585.269,3981.69,1098.61,3.46765,565.661,160193,3974.36,1091.17,1.02482,555.901,3972.96,1088.02,1.98061,553.449,100,724398
113562.35,1224.59,114786.95,31.8,36.7,656,7.54,3.77,,0.409667,0.096608,0.41238,35.2598,3.47712,29549.2,25896,67479.84,759773.2,719355,40418.2,2.77863,2361.68,1573.61,14058.3,40000,114683,0.0252405,0.0693215,71116.7,3745.49,135935,1.15E-05,171444,571444,3785.64,1035.57,3.01643,555.84,3870.39,1018.53,3.64035,536.594,171444,3864.12,1012.85,0.988609,528.233,3864.32,1009.62,1.98836,525.664,100,417773
113562.35,6929.77,120492.12,15.4,32.2,656,3.65,1.83,,0.2599,0.0520076,0.33645,34.5408,3.30825,19432.6,32908.1,46751.328,656497.1,619357,37140.1,2.50122,297.249,1078.16,9739.86,40000,120387,0.021842,0.0210412,81430.7,1815.48,73656.7,4.90E-06,177148,577148,2039.44,895.673,3.59578,501.106,2087.38,881.241,4.17152,484.3,177148,2082.3,876.892,1.21856,476.84,2080.3,873.681,2.57715,474.633,100,357214
113562.35,25312,138874.36,17.6,15.2,511,4.17,2.09,,0.463214,0.0405444,0.266704,24.7849,3.31118,16487,18606.6,42739.2,520460.1,490510,29950.1,2.35984,1434.37,983.525,8904,40000,138771,0.0127644,0.0508441,64512.8,2592.96,89442.3,1.10E-05,195532,595532,1588.62,523.783,4.45856,302.714,1625.61,515.396,4.42925,292.569,195532,1622.57,511.825,2.40826,286.69,1621.77,510.575,2.77681,285.655,100,256264
113562.35,82182.53,195744.88,23.6,35.1,563,5.6,2.8,,1.08E-05,0.048129,0.206187,21.0904,3.39785,23532.5,32268.2,54587.04,578578.5,538903,39675.5,2.66566,1317.36,1264.15,11372.3,40000,195641,0.0146019,0.0349113,71204,2947.16,106353,1.00E-06,252402,652402,1878.67,599.049,4.88701,349.606,1928.04,588.513,5.20279,337.336,252402,1925.88,585.852,2.74012,331.938,1925.16,584.075,3.39636,330.565,100,413002
113562.35,13728.92,127291.28,33.1,20.1,546,7.85,3.92,,0.379701,0.0772845,0.95289,27.1596,3.09306,24734.3,15262.1,60847.68,609981.3,575315,34666.3,2.60146,3554,1413.88,12676.6,40000,127189,0.0173734,0.692975,54931.6,4048.2,142687,1.21E-05,183950,583950,3017.42,713.288,3.5028,394.834,3085.92,701.278,3.8645,381.069,183950,3085.81,697.053,1.45422,374.246,3091.38,694.935,1.99251,372.455,100,225848
113562.35,85447.8,199010.15,37.5,39.5,649,8.89,4.45,,0.0009976,0.0831557,0.394127,22.057,3.36835,37101.2,26937.8,80579.04,739946,689876,50070,2.92137,2508.14,1892.46,16787.3,40000,198905,0.0203021,0.192857,68815.6,4011.52,144706,1.00E-06,255666,655666,3241.47,833.03,4.05223,475.161,3324.02,817.924,4.59289,457.998,255666,3320.98,814.653,1.79985,451.741,3326.23,812.085,2.51616,449.55,100,461738
113562.35,2606.14,116168.5,35.9,22.2,667,8.51,4.26,,0.248902,0.107933,0.518514,35.2315,3.25783,31673,15618.7,73372.8,755442.2,712793,42649.2,2.7523,3538.96,1716.48,15286,40000,116064,0.0262191,0.170697,59798,4083.02,146732,7.46E-06,172825,572825,4224.24,1075.59,2.8848,578.751,4320.73,1057.39,3.65394,558.158,172825,4311.23,1052.48,0.839557,550.398,4317.32,1048.76,1.85846,547.29,100,253451
113562.35,64275.1,177837.46,29.7,24.8,598,7.04,3.52,,8.08E-05,0.0654129,0.263895,22.7907,2.99316,27474.9,20281.1,63741.12,619320.4,578999,40321.4,2.70833,2663.49,1483.42,13279.4,40000,177733,0.0176626,0.0608968,62796.6,3538.18,128392,1.00E-06,234494,634494,2551.93,724.217,4.11794,415.654,2618.64,711.465,4.65057,400.903,234494,2616.03,708.758,1.83408,395.109,2616.51,706.506,2.63194,393.332,100,298404
113562.35,17600.66,131163.02,17.9,43.8,599,4.24,2.12,,0.799034,0.0510636,0.302081,29.5005,3.94687,20325,64941.7,47804.784,713204,675409,37795,2.5926,0.0688343,1103.07,9959.33,40000,131058,0.018877,0.0357499,84543.8,2156.19,84540.3,1.61E-05,187819,587819,2008.89,774.86,4.0976,425.006,2049.74,762.871,4.06772,410.875,187819,2043.99,756.953,1.9495,402.64,2042.54,755.08,2.53901,401.178,100,515022
113562.35,77516.88,191079.24,20.1,15.2,698,4.77,2.38,,3.07E-06,0.043345,3.63341,24.6507,3.19212,22321.1,45618.7,50731.2,669486.9,620339,49147.9,2.60947,0.239171,1172.44,10569,40000,190975,0.0204489,3.42222,83346.4,1370.25,64483.5,1.00E-06,247736,647736,1689.53,837.231,4.79268,487.592,1734.63,823.283,5.06294,470.615,247736,1727.23,820.805,2.02978,464.811,1733.8,817.956,2.78025,462.258,100,344890
113562.35,76521.81,190084.16,17.4,32.9,642,4.13,2.06,,5.31E-06,0.0374633,2.56033,23.3188,3.20145,19863.3,49156.7,46480.032,615868.6,570435,45433.6,2.52551,0.139942,1071.75,9683.34,40000,189980,0.0176011,2.36523,79629.1,1321.19,60475.6,1.00E-06,246741,646741,1459.9,720.944,4.95412,423.389,1498.68,708.953,5.16755,408.825,246741,1493.36,706.417,2.35741,403.178,1498.53,704.046,2.94997,401.02,100,319665
113562.35,25469.28,139031.64,22.2,32.9,716,5.26,2.63,,0.106544,0.0704571,0.339727,32.5631,3.20857,26353.8,27751.7,59629.92,735133.5,690924,44209.5,2.71338,1147.82,1384.68,12422.9,40000,138926,0.0253595,0.037187,79452.2,2559.71,100299,2.10E-06,195687,595687,2756.97,1039.2,3.46689,578.052,2825.08,1021.9,4.15204,557.944,195687,2818.67,1018,1.04764,550.812,2818.28,1014.38,2.35405,548.018,100,384483
92370.55,0,92370.55,18.6,35.9,553,3.59,1.79,,0.805455,0.0399835,0.417132,30.6183,3.63869,14203.3,36383.2,37381.248,442743.1,420132,22611.1,2.3466,76.2131,857.778,7787.76,40000,92267.4,0.0117202,0.133268,77121,2461.33,84616.6,2.56E-05,149028,549028,1573.29,481.044,3.55406,276.091,1603.66,473.714,3.73479,267.708,149028,1600.07,469.905,1.82244,261.877,1599.34,468.81,2.11628,261.009,100,512580
113562.35,44943.83,158506.18,33.6,48.6,536,7.97,3.98,,0.839622,0.0701355,1.86145,22.4552,4.22255,28974.2,55249.4,63284.64,712431.5,670898,41533.5,2.93443,499.522,1472.44,13184.3,40000,158403,0.0162087,1.6554,88484.9,3845.81,138300,2.40E-05,215164,615164,2742.47,665.877,4.20967,362.731,2801.52,654.908,3.98474,350.073,215164,2803.46,649.64,2.19001,342.903,2805.42,648.348,2.31605,341.609,100,845277
109703.78,0,109703.78,23.1,30,472,5.29,2.65,,1.03414,0.0466477,1.09907,26.7901,3.89931,15084.5,11289.2,42263.376,476908.5,451831,25077.5,2.23208,2568,972.33,8804.87,40000,109602,0.0106329,0.85305,53094.2,3386.82,106924,3.57E-05,166363,566363,1829.39,436.286,4.25457,249.229,1867.61,429.696,3.90031,241.043,166363,1866.24,426.118,2.21397,235.606,1865.91,425.317,2.27658,234.785,100,158829
113562.35,57454.59,171016.94,20.7,37.6,600,4.91,2.45,,0.137668,0.0503451,0.2343,24.1389,3.3314,23314.1,47978.6,52785.6,633736.8,593449,40287.8,2.71921,134.514,1221.25,10997,40000,170912,0.017255,0.0276231,85128.5,2529.55,96067.7,2.70E-06,227673,627673,1969.54,707.822,4.44449,405.587,2018.45,695.83,4.73296,391.57,227673,2015.05,692.38,2.14393,385.287,2013.8,690.201,3.00533,383.693,100,578096
113562.35,69054.17,182616.52,13.5,20.8,746,3.2,1.6,,3.04E-06,0.0482163,0.323654,27.0065,3.22711,23807.2,40613.5,53109.6,719535.1,670085,49450.1,2.64789,0.170138,1228.97,11064.5,40000,182509,0.0231169,0.0877769,84518.7,1236.42,62290.5,1.00E-06,239270,639270,1883.16,946.333,4.52375,546.628,1933.63,930.542,4.94187,527.565,239270,1926.59,927.859,1.6878,521.371,1928.65,924.676,2.70702,518.693,100,324163
