WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,WW Ortho-P,Acetate Flow,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Sludge added per day,Total air,dailychemconsumptionEffluent,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL2,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,VSS Effluent,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,Effluent Flow ANA Reactor,Effluent Flow 1st ANX Reactor,MLSS 1st ANX Reactor,MLVSS 1st ANX Reactor,Soluble BOD 1st ANX Reactor Effluent,Total BOD 1st ANX Reactor Effluent,MLSS 1st AER Reactor,MLVSS 1st AER Reactor,Soluble BOD 1st AER Reactor Effluent,Total BOD 1st AER Reactor Effluent,Effluent Flow 2nd ANX Reactor,MLSS 2nd ANX Reactor,MLVSS 2nd ANX Reactor,Soluble BOD 2nd ANX Reactor,Total BOD 2nd ANX Reactor,MLSS 2nd AER Reactor,MLVSS 2nd AER Reactor,Soluble BOD 2nd AER Reactor,Total BOD 2nd AER Reactor
113562.354,16345.22966,129907.6,1.14E+01,2.84E+01,7.50E+02,9.11E+00,0.00E+00,,0.202439,0.0806933,0.456576,45.558,3.71759,30355.8,19382.39463,816416.5626,680.931,18879.5,1142.36,2.90989,242.31,1471.25,13174.1,40000,129893,0.0328648,0.0256973,89710.4,1843.19,85270.3,3.93E-06,186654,586654,3169.93,1344.06,2.42891,730.69,3236.6,1323.88,3.84948,708.056,186654,3229.36,1318.93,0.665159,699.928,3227.73,1314.59,2.3578,696.793
113562.354,90319.6082,203882,1.20E+01,3.29E+01,4.69E+02,9.63E+00,0.00E+00,,0.188315,0.0517974,0.507147,50.2883,4.90093,29099.5,16550.61765,562939.9559,1068.73,12885.3,920.281,3.01836,988.33,1357.81,12189.2,40000,203868,0.0143163,0.0372097,67502.5,2389.18,99615.8,4.82E-06,260629,660629,2034.91,585.903,3.62309,335.362,2074.72,576.944,4.26249,325.333,260629,2072.62,573.897,2.40998,320.119,2071.9,572.652,2.85325,319.154
113562.354,28845.47678,142407.8,3.34E+01,2.25E+01,5.64E+02,2.67E+01,0.00E+00,,0.312682,0.102702,7.15354,40.2386,3.59886,35185.3,30052.74893,703478.964,746.441,16225,1027.17,2.86744,3722.97,1839.54,16337.1,40000,142389,0.0224118,6.75578,55525,4203.03,152844,1.04E-05,199150,599150,4017.86,918.815,2.68565,504.761,4101.06,903.681,3.67714,488.113,199150,4096.92,899.319,1.05639,480.979,4108.09,896.474,1.80972,478.639
113562.354,33120.22052,146682.6,2.59E+01,4.06E+01,6.93E+02,2.07E+01,0.00E+00,,0.420124,0.117453,0.523422,46.6465,4.16612,42464.5,38144.7688,894932.4739,768.838,20752.5,1194.89,3.03158,2324.17,2077.93,18357.1,40000,146662,0.0295312,0.0643796,71390,3798.42,139428,1.19E-05,203423,603423,4605.57,1210.21,2.63017,658.646,4704.18,1190.51,3.62775,636.897,203423,4698.09,1184.58,0.958457,628.271,4698.14,1181.25,2.03597,625.659
113562.354,90737.2543,204299.6,1.31E+01,2.21E+01,5.22E+02,1.05E+01,0.00E+00,,0.0739025,0.0579403,0.517108,51.6046,4.58683,31273.2,19312.87036,593999.029,1070.91,13599.3,967.976,3.00451,1293.39,1468.57,13150.8,40000,204285,0.0167734,0.0311453,66475.9,2426.64,100347,1.78E-06,261046,661046,2273.68,686.276,3.45662,395.463,2320.83,675.456,4.38768,383.426,261046,2318.56,672.683,1.95538,377.889,2317.61,670.935,2.69598,376.657
113562.354,90740.64253,204303,1.69E+01,2.53E+01,5.95E+02,1.35E+01,0.00E+00,,0.00934547,0.0721343,0.545113,53.3599,4.50466,36570.7,26507.09092,670017.9653,1070.92,15362.8,1068.77,3.02755,1706.8,1725.43,15362.6,40000,204286,0.0204431,0.03622,66858.7,2788.18,110352,1.00E-06,261047,661047,2826.39,836.38,3.29034,480.444,2888.92,822.768,4.40649,465.272,261047,2886.13,820.036,1.51781,459.348,2885.37,817.723,2.49546,457.71
113562.354,5131.102681,118693.5,1.57E+01,2.91E+01,4.79E+02,1.25E+01,0.00E+00,,0.706599,0.070299,0.425141,28.8473,3.38166,23700.7,14895.35088,582144.514,622.154,13559.6,716.955,2.71439,2864.03,1287.1,11572.8,40000,118681,0.0174588,0.149997,61157.8,3388.29,135049,2.31E-05,175442,575442,2759.98,715.145,2.82356,389.97,2814.68,704.521,3.47791,378.234,175442,2812.29,699.884,1.42874,371.385,2811.96,698.351,1.90956,370.225
105641.4209,0,105641.4,2.88E+01,2.69E+01,5.39E+02,2.31E+01,0.00E+00,,0.498857,0.0924785,7.70486,29.3528,3.06686,26614.5,19318.70111,607813.4957,553.722,14127.4,778.663,2.72241,3693.65,1468.79,13152.8,40000,105627,0.0203393,7.41581,56325.1,4036.02,151901,1.85E-05,162388,562388,3623.61,833.82,2.47211,448.073,3694.2,820.812,3.45436,434.082,162388,3692.49,815.953,0.998234,426.719,3699.14,813.573,1.70003,424.902
113562.354,86552.00465,200114.4,3.81E+01,3.53E+01,4.53E+02,3.05E+01,0.00E+00,,0.336277,0.0670171,11.1543,48.7226,4.9957,32692.1,23164.54632,603304.3753,1048.97,13808.7,986.781,2.97135,2389.65,1610.92,14379.7,40000,200098,0.0142162,10.689,60207.7,3704.09,135643,1.07E-05,256859,656859,2620.85,582.688,3.55503,329.568,2672.98,573.317,4.02333,319.119,256859,2676.71,569.835,2.25573,313.619,2680.68,568.65,2.44383,312.48
113562.354,51052.49101,164614.8,3.79E+01,3.28E+01,5.35E+02,3.03E+01,0.00E+00,,0.703948,0.09242,9.63485,44.6305,3.88864,36054.4,30047.90716,710410.1941,862.856,16429.1,993.052,2.92887,3332.67,1839.39,16335.8,40000,164596,0.0199453,9.19937,56921,4053.13,152021,2.35E-05,221357,621357,3616.08,817.602,3.12212,455.238,3688.6,804.518,3.82922,440.678,221357,3689.55,799.894,1.58683,433.564,3696.8,797.812,2.06891,431.773
113562.354,89457.85739,203020.2,3.40E+01,3.33E+01,4.90E+02,2.72E+01,0.00E+00,,0.176096,0.0759634,7.25537,50.0363,4.66784,36260.3,28332.35317,626734.3734,1064.19,14308.5,1061.58,2.98164,2927.63,1785.03,15872.2,40000,203002,0.016021,6.77369,55746.2,3811.51,139246,5.54E-06,259763,659763,2967.57,656.708,3.40304,374.518,3028.93,645.744,4.13516,362.398,259763,3031.42,642.508,1.9585,356.713,3038.54,640.84,2.33688,355.23
94756.27863,0,94756.3,3.46E+01,3.12E+01,5.79E+02,2.77E+01,0.00E+00,,0.431416,0.0922138,12.2305,31.2937,3.05302,24996,17535.96931,565899.823,496.663,13144.5,733.669,2.68655,3715.6,1398.28,12541.1,40000,94742.3,0.0200186,11.9213,55664.4,4028.37,151597,1.68E-05,151503,551503,3615.44,820.763,2.33768,439.069,3684.31,807.879,3.447,425.443,151503,3680.96,803.303,0.872624,418.3,3688.55,800.744,1.65805,416.394
98533.5776,0,98533.6,1.70E+01,2.38E+01,6.03E+02,1.36E+01,0.00E+00,,0.565277,0.0400835,11.7685,32.597,3.32214,15713.8,7035.777947,547032.403,516.492,12718.7,696.763,2.44719,0.1,880.541,7990.29,40000,98524.8,0.0197155,11.4637,79405.8,1031.96,58542,1.27E-05,155286,555286,1578.2,806.573,2.62117,441.38,1607.96,795.673,3.41012,429.271,155286,1602,790.665,1.10697,421.867,1603.34,788.62,1.73255,420.307
113562.354,3746.233964,117308.6,3.86E+01,2.33E+01,4.76E+02,3.09E+01,0.00E+00,,0.675333,0.0790577,19.5185,27.9648,3.27835,24369.4,17169.17186,592895.0526,614.889,13797,743.202,2.6558,3629.09,1383.35,12411.3,40000,117295,0.0176585,19.2472,56751.8,4094.5,151803,2.42E-05,174056,574056,3100.17,723.769,2.76613,392.962,3159.83,712.713,3.44306,380.829,174056,3159.43,708.008,1.33642,373.889,3162.31,706.339,1.79411,372.575
113562.354,74790.16722,188352.5,1.72E+01,3.99E+01,5.89E+02,1.38E+01,0.00E+00,,0.388865,0.075568,0.522272,51.0368,4.82471,36510.5,25911.54974,745516.8411,987.302,17192.2,1090.91,3.08218,949.65,1705.56,15192.4,40000,188335,0.0208438,0.0355233,76893.4,2899.01,113855,9.65E-06,245096,645096,2965.94,853.735,3.29527,478.696,3027.45,840.294,3.98414,463.705,245096,3023.95,835.771,1.7215,456.675,3022.72,833.751,2.48619,455.199
113562.354,73424.08858,186986.4,2.52E+01,4.62E+01,5.33E+02,2.02E+01,0.00E+00,,0.786049,0.0857708,1.99146,48.6852,5.45889,39514.2,31020.34245,780885.3532,980.132,18012.1,1138.39,3.1135,1521.51,1869.54,16592.5,40000,186968,0.0186426,1.51943,72990.7,3715.24,136812,2.40E-05,243729,643729,3358.39,764.642,3.43235,421.925,3424.29,752.404,3.72105,408.359,243729,3427.87,747.122,1.94716,401.162,3430.83,745.702,2.16574,399.828
113562.354,53487.5329,167049.9,1.90E+01,2.41E+01,5.89E+02,1.52E+01,0.00E+00,,0.205104,0.0824231,0.50029,47.1364,4.01288,34441,25777.69313,690622.2093,875.629,15936.3,1000.57,2.94328,2386.1,1701.06,15153.9,40000,167033,0.0219223,0.0461625,64446,3255.2,125445,5.47E-06,223794,623794,3229.86,897.553,2.94888,503.139,3300.88,883.071,3.95509,487.01,223794,3297.56,879.375,1.23261,480.355,3296.92,876.891,2.19946,478.548
113562.354,31000.60264,144563,1.45E+01,4.78E+01,5.56E+02,1.16E+01,0.00E+00,,1.50781,0.0724995,0.488972,40.7791,5.38367,30083.3,18560.35496,798800.4029,757.76,18578,1011.84,3.02398,0.45,1439.2,12896.3,40000,144549,0.0209928,0.0985903,89077.6,2763.94,111769,3.89E-05,201310,601310,2857.21,859.725,3.20267,458.755,2906.73,847.552,3.39385,445.079,201310,2901.08,841.104,1.75418,436.892,2899.98,839.711,2.02528,435.671
113562.354,84759.92749,198322.3,2.50E+01,3.53E+01,6.72E+02,2.00E+01,0.00E+00,,0.0635597,0.0980733,0.59624,54.474,4.55389,45231.3,40948.60265,804015.2788,1039.54,18481.4,1236.33,3.0687,2396.8,2154.77,19003.7,40000,198301,0.0249005,0.0668157,65300.8,3514.2,130190,1.65E-06,255062,655062,3838.4,1019.67,3.11113,580.205,3926.64,1002.32,4.1815,560.808,255062,3921.9,998.919,1.21024,554.222,3922.93,996.019,2.25242,551.987
105173.3086,0,105173.3,2.19E+01,1.87E+01,5.62E+02,1.76E+01,0.00E+00,,0.453724,0.0953973,0.770491,30.5281,3.07162,27646.2,20080.3036,625395.281,551.267,14538.4,798.84,2.75843,3524.06,1497.96,13405.1,40000,105158,0.021653,0.469904,57774.9,3891.67,148267,1.62E-05,161919,561919,3739.12,887.48,2.41046,476.126,3813.53,873.619,3.47009,461.211,161919,3810.78,868.699,0.919931,453.708,3815.89,866.12,1.71673,451.752
113562.354,37865.31901,151427.7,1.98E+01,3.87E+01,5.14E+02,1.58E+01,0.00E+00,,0.755046,0.0816776,0.604475,40.8629,4.40767,32273.8,22933.33766,694548.433,793.738,16112.2,920.957,2.97179,1906.29,1602.71,14309.1,40000,151412,0.0188627,0.208905,70757.5,3612.05,136944,2.37E-05,208173,608173,3202.52,773.079,3.08148,422.05,3266.42,761.115,3.57151,408.77,208173,3266.53,756.035,1.63083,401.582,3267.1,754.508,2.01172,400.301
82583.64927,0,82583.6,3.12E+01,2.74E+01,4.71E+02,2.50E+01,0.00E+00,,1.06434,0.0461996,16.8153,26.1958,3.6029,14576.7,7267.323312,367683.9374,432.878,8555.94,461.168,2.4091,3071.67,895.06,8119.37,40000,82574.7,0.00975198,16.5696,53454,3220.75,132765,5.20E-05,139336,539336,1819.51,399.491,2.98652,223.817,1850.6,393.891,3.26384,217.697,139336,1848.72,390.857,1.70231,213.071,1847.99,390.079,1.88626,212.457
113562.354,50596.63014,164159,2.83E+01,2.38E+01,7.42E+02,2.26E+01,0.00E+00,,0.0551826,0.120963,0.644831,51.5812,4.06106,46389.5,45542.44912,876220.6561,860.444,20170.6,1317.9,3.0159,2995.11,2275.45,20014.7,40000,164136,0.0310066,0.135371,63772.8,3806.01,138958,1.48E-06,220897,620897,4736.08,1269.67,2.64217,707.324,4845.22,1248.1,3.89807,683.105,220897,4832.31,1244.32,0.74752,676.079,4838.53,1240.27,1.97274,672.735
86915.34187,0,86915.3,2.58E+01,4.36E+01,7.22E+02,2.06E+01,0.00E+00,,0.591443,0.111921,0.566784,38.5355,3.64692,30039.5,21246.63952,692666.4863,455.551,16142.4,844.604,2.90724,1946.89,1541.6,13782.2,40000,86899.9,0.0261859,0.183662,75267.9,3764.54,142251,2.15E-05,143661,543661,4398.4,1073.36,2.14833,556.1,4480.82,1056.95,3.33867,538.822,143661,4474.41,1050.58,0.742349,530.073,4476.85,1047.44,1.7169,527.722
103537.3176,0,103537.3,3.21E+01,4.91E+01,7.27E+02,2.57E+01,0.00E+00,,0.800794,0.145457,1.87078,38.7565,3.99278,40751.7,36751.73075,928640.5768,542.662,21625.8,1148.25,3.0185,2389.6,2038.75,18026.6,40000,103517,0.0323689,1.47756,73990.6,4281.88,153460,2.81E-05,160278,560278,5709.9,1327.66,2.23541,687.594,5815.91,1306.84,3.27195,665.3,160278,5808.41,1298.47,0.820796,654.749,5818.3,1294.76,1.68916,651.687
113562.354,1224.592684,114786.9,3.18E+01,3.67E+01,6.56E+02,2.55E+01,0.00E+00,,0.440413,0.136939,3.3701,35.689,3.41285,39640.7,37170.79229,855594.8007,601.635,19817.5,1165.17,2.92473,3464.47,2050.61,18126.7,40000,114766,0.0303664,3.0091,62544.1,4385.39,157302,1.51E-05,171527,571527,5367.52,1245.28,2.28617,660.639,5474.43,1225.05,3.43041,638.578,171527,5462.27,1218.74,0.740128,629.663,5477.56,1214.66,1.71461,626.241
113562.354,6929.767406,120492.1,1.54E+01,3.22E+01,6.56E+02,1.23E+01,0.00E+00,,0.31685,0.0872901,0.400319,38.2522,3.38919,29496.4,20114.10369,747135.414,631.572,17336.4,986.404,2.84905,1631.12,1499.24,13416.2,40000,120477,0.0283465,0.0346279,76810.6,2804.81,114041,7.72E-06,177238,577238,3427.59,1160.19,2.41567,627.122,3499.46,1142.58,3.67155,607.652,177238,3493.11,1137.42,0.774456,599.552,3491.6,1133.86,2.13735,597.01
113562.354,25312.00266,138874.4,1.76E+01,1.52E+01,5.11E+02,1.41E+01,0.00E+00,,0.470677,0.0763181,0.444738,37.4025,3.64891,28088.5,19141.619,619772.1125,727.938,14381.8,817.537,2.82071,2834.86,1461.94,13093.3,40000,138860,0.0188279,0.0849316,60666.3,3448.96,134226,1.45E-05,195621,595621,2992.83,771.242,2.86907,425.226,3055.02,759.279,3.66316,412.009,195621,3053.05,754.959,1.37347,405.19,3052.73,753.117,2.01487,403.819
113562.354,82182.52743,195744.9,2.36E+01,3.51E+01,5.63E+02,1.89E+01,0.00E+00,,0.191218,0.0871309,0.63008,50.968,4.55943,40252.8,33517.49568,708960.5166,1026.04,16281.7,1104.9,3.03431,2643.73,1944.96,17233,40000,195725,0.0197488,0.136254,60610,3678.94,136022,5.61E-06,252486,652486,3408.37,809.263,3.2349,459.14,3482.75,795.651,4.08032,444.057,252486,3482.76,792.042,1.58923,437.709,3485.24,789.951,2.23527,436.006
113562.354,13728.92262,127291.3,3.31E+01,2.01E+01,5.46E+02,2.65E+01,0.00E+00,,0.405913,0.100161,9.07746,34.9323,3.34696,31746.5,25777.37149,680401.0282,667.204,15751.1,935.105,2.80651,3751.73,1701.05,15153.8,40000,127274,0.0220294,8.73217,56148.5,4199.49,153835,1.40E-05,184035,584035,3921.15,903.138,2.59518,491.045,4000.29,888.611,3.56644,475.158,184035,3997.02,883.859,1.03105,467.756,4006.43,881.175,1.75899,465.594
113562.354,85447.79515,199010.1,3.75E+01,3.95E+01,6.49E+02,3.00E+01,0.00E+00,,0.192063,0.113403,3.59082,53.6532,4.72667,50461,51982.51277,856418.4811,1043.13,19595.9,1406.97,3.08905,3095.65,2435.28,21345.6,40000,198986,0.024248,3.06189,60020.8,4177.45,149028,5.84E-06,255747,655747,4431.07,994.605,3.12964,563.56,4527.08,977.161,4.02752,544.24,255747,4522.65,972.987,1.3328,537.2,4536.12,969.921,2.07644,534.556
113562.354,2606.143474,116168.5,3.59E+01,2.22E+01,6.67E+02,2.88E+01,0.00E+00,,0.265732,0.14208,5.45452,36.7287,3.25072,40618.3,39877.04417,837298.493,608.873,19323.8,1210.17,2.89929,4124.69,2125.71,18759.4,40000,116147,0.0310324,5.08183,56406.5,4453.32,162109,9.18E-06,172908,572908,5568.41,1272.43,2.22327,679.405,5681.56,1251.28,3.48925,656.183,172908,5663.3,1245.92,0.629239,648.035,5683.2,1241.3,1.71783,644.105
113562.354,64275.10137,177837.5,2.97E+01,2.48E+01,5.98E+02,2.38E+01,0.00E+00,,0.130346,0.103837,1.79892,48.982,4.08838,42305.9,39285.42945,737532.8495,932.158,16895.9,1191.41,2.9808,3541.18,2109.5,18623.1,40000,177816,0.0225695,1.31682,54773.9,4089.18,147915,4.07E-06,234577,634577,4057.69,925.114,2.93474,521.426,4146.53,909.199,3.98012,503.766,234577,4141.48,905.746,1.16646,497.281,4153.5,902.779,1.96923,494.8
113562.354,17600.66111,131163,1.79E+01,4.38E+01,5.99E+02,1.43E+01,0.00E+00,,0.902357,0.0894979,0.44204,38.8294,4.27263,32591,22592.95046,805203.3359,687.506,18765.5,981.366,3.00878,764.52,1590.56,14204.4,40000,131147,0.0246512,0.066826,85793.4,3228.52,125411,2.48E-05,187908,587908,3519.25,1010,2.78008,539.313,3587.02,994.964,3.43307,522.769,187908,3581.28,988.19,1.34436,513.839,3579.91,986.049,2.00451,512.204
113562.354,77516.88251,191079.2,2.01E+01,1.52E+01,6.98E+02,1.61E+01,0.00E+00,,0.00812422,0.0893578,0.573487,54.3835,4.36731,41233.7,33864.4104,781382.0081,1001.58,17956.9,1205.77,3.03979,1851.69,1955.22,17320,40000,191060,0.0262524,0.048569,70266.1,2972.92,115380,1.00E-06,247821,647821,3499.08,1073.98,3.02646,610.681,3579.32,1056.3,4.25784,590.763,247821,3573.97,1053.27,1.05064,584.3,3574.31,1050.1,2.27638,581.93
113562.354,76521.80997,190084.2,1.74E+01,3.29E+01,6.42E+02,1.39E+01,0.00E+00,,0.0745051,0.078682,0.540061,52.7396,4.38215,37313.9,27781.70018,727583.4421,996.377,16727.8,1115.51,3.02575,1540.78,1767.25,15720.3,40000,190066,0.0233258,0.035055,71298.5,2785.92,110480,1.72E-06,246827,646827,3083.51,954.411,3.11812,542.478,3151.95,938.971,4.22593,525.167,246827,3148.17,935.754,1.25886,518.729,3147.28,933.031,2.38981,516.794
113562.354,25469.28162,139031.6,2.22E+01,3.29E+01,7.16E+02,1.78E+01,0.00E+00,,0.185858,0.109579,0.514889,45.8273,3.75324,38385.5,32306.04036,836348.8139,728.739,19335.8,1174.88,2.95121,2428.77,1908.72,16925.5,40000,139013,0.0310965,0.0665076,70080.1,3415.48,129480,4.79E-06,195774,595774,4295.46,1273.05,2.46841,694.983,4390.62,1252.52,3.71956,672.059,195774,4381.48,1247.83,0.708556,664.338,4383.16,1243.86,2.00594,661.192
92370.55237,0,92370.6,1.86E+01,3.59E+01,5.53E+02,1.49E+01,0.00E+00,,0.710222,0.0758088,0.591952,30.1091,3.33943,22681.5,13377.74407,538496.1377,484.166,12564.1,642.019,2.75896,2056,1218.84,10975.8,40000,92358.4,0.0177137,0.300296,70077.6,3410.24,136466,2.69E-05,149119,549119,2979.48,725.96,2.50637,387.85,3034.45,715.174,3.35919,376.431,149119,3031.96,710.294,1.16428,369.355,3032.35,708.55,1.74335,368.122
113562.354,44943.82566,158506.2,3.36E+01,4.86E+01,5.36E+02,2.69E+01,0.00E+00,,1.26873,0.0908255,8.44225,43.1958,5.38325,36623.9,28084.34016,812606.4289,830.836,18854.7,1073.72,3.06937,1279.32,1777.04,15804,40000,158488,0.0200171,8.02012,79217.5,3899.39,142141,4.01E-05,215249,615249,3561.97,820.929,3.24638,441.168,3629.65,808.217,3.42314,427.08,215249,3631.57,802.071,1.73762,419.188,3633.02,800.685,1.9342,417.899
